,score,text,,,,,,,,,,,,,,,,,,
125,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/zUtUF4Gel9",,,,,,,,,,,,,,,,,,
126,1,RT @zar_iina: Women driving in Saudi Arabia: Important questions answered https://t.co/jZwhq5nCvH,,,,,,,,,,,,,,,,,,
127,1,Women driving in Saudi Arabia: Important questions answered https://t.co/jZwhq5nCvH,,,,,,,,,,,,,,,,,,
128,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/gc3X4WBMFR",,,,,,,,,,,,,,,,,,
129,0,KAU to have driving school for women - Saudi Gazette - Saudi Gazette https://t.co/U4X41V5Jep,,,,,,,,,,,,,,,,,,
130,1,RT @SusieOfArabia: Women driving in Saudi Arabia: Important questions answered  #women2drive  https://t.co/tN5AXoBXTW,,,,,,,,,,,,,,,,,,
131,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/pzN6KQ3A4B",,,,,,,,,,,,,,,,,,
132,1,Women driving in Saudi Arabia: Important questions answered https://t.co/RRcLwNujrt,,,,,,,,,,,,,,,,,,
133,0,"Saudi women can rev up motorbikes, trucks after driving ban lifted

 Saudi women will not only be allowed to get be… https://t.co/gHIzot4TKH",,,,,,,,,,,,,,,,,,
134,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/kivzimNtYc",,,,,,,,,,,,,,,,,,
135,0,RT @AlertNet: Saudi women can rev up motorbikes and trucks after driving ban lifted https://t.co/StrLR7tST8 | @HebaKanso reports https://t.…,,,,,,,,,,,,,,,,,,
136,0,Saudi women can rev up motorbikes and trucks after driving ban lifted https://t.co/TLNKnifR0G,,,,,,,,,,,,,,,,,,
137,1,RT @SusieOfArabia: Women driving in Saudi Arabia: Important questions answered  #women2drive  https://t.co/tN5AXoBXTW,,,,,,,,,,,,,,,,,,
138,1,Women driving in Saudi Arabia: Important questions answered  #women2drive  https://t.co/tN5AXoBXTW,,,,,,,,,,,,,,,,,,
139,0,<U+0D38><U+0D57><U+0D26><U+0D3F> <U+0D21><U+0D4D><U+0D30><U+0D48><U+0D35><U+0D3F><U+0D02><U+0D17><U+0D4D> <U+0D32><U+0D48><U+0D38><U+0D28><U+0D4D><U+200D><U+0D38><U+0D4D>;<U+0D2A><U+0D41><U+0D24><U+0D3F><U+0D2F> <U+0D2A><U+0D4D><U+0D30><U+0D16><U+0D4D><U+0D2F><U+0D3E><U+0D2A><U+0D28><U+0D24><U+0D4D><U+0D24><U+0D3F><U+0D32><U+0D4D><U+200D> <U+0D2A><U+0D4D><U+0D30><U+0D35><U+0D3E><U+0D38><U+0D3F> <U+0D2E><U+0D32><U+0D2F><U+0D3E><U+0D33><U+0D3F> <U+0D35><U+0D28><U+0D3F><U+0D24><U+0D15><U+0D33><U+0D4D><U+200D><U+0D15><U+0D4D><U+0D15><U+0D41><U+0D33><U+0D4D><U+0D33> <U+0D28><U+0D47><U+0D1F><U+0D4D><U+0D1F><U+0D02> <U+0D07><U+0D24><U+0D3E><U+0D23><U+0D4D>. https://t.co/dDZnoSegiw,,,,,,,,,,,,,,,,,,
140,-1,Saudi women drivers to lose over a million female chauffeurs their jobs https://t.co/7bP5OEfyfc #Expat News @expatsblog,,,,,,,,,,,,,,,,,,
